source	target	type	source_id	id	label	name	category_code	crunchbase_url	funded_month	source_description	round_code	raised_amount	permalink	source_url	raised_currency_code	funded_year	funded_day
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					PRO-PHARMACEUTICALS CLOSES $310,000 TRANCHE; BRINGS TOTAL TO $4.1 MILLION OF $6.0 MILLION PRIVATE PLACEMENT	b	310000.0	10x-fund-lp__pro-pharmaceuticals	http://phx.corporate-ir.net/phoenix.zhtml?c=135403&p=irol-newsArticle&ID=1567332&highlight=	USD	2009	
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					PRO-PHARMACEUTICALS CLOSES $325,000 TRANCHE	b	325000.0	10x-fund-lp__pro-pharmaceuticals	http://phx.corporate-ir.net/phoenix.zhtml?c=135403&p=irol-newsArticle&ID=1567334&highlight=	USD	2009	
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					PRO-PHARMACEUTICALS CLOSES $325,000 TRANCHE	b	325000.0	10x-fund-lp__pro-pharmaceuticals	http://phx.corporate-ir.net/phoenix.zhtml?c=135403&p=irol-newsArticle&ID=1567337&highlight=	USD	2010	
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					PRO-PHARMACEUTICALS CLOSES $335,000 TRANCHE	b	335000.0	10x-fund-lp__pro-pharmaceuticals	http://phx.corporate-ir.net/phoenix.zhtml?c=135403&p=irol-newsArticle&ID=1567338&highlight=	USD	2010	
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					PRO-PHARMACEUTICALS CLOSES $310,000 TRANCHE FROM 10X FUND	b	310000.0	10x-fund-lp__pro-pharmaceuticals	http://phx.corporate-ir.net/phoenix.zhtml?c=135403&p=irol-newsArticle&ID=1567342&highlight=	USD	2010	
"(664802 {""stub"":""False"",""permalink"":""10x-fund-lp"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-fund-lp"",""name"":""10X Fund LP"",""visited"":""False"",""created_at"":""Fri Dec 11 06:49:00 UTC 2009"",""updated_at"":""Fri Nov 29 08:26:16 UTC 2013""})"	"(665425 {""stub"":"""",""visited"":""False"",""permalink"":""pro-pharmaceuticals"",""name"":""Galectin Therapeutics""})"	funded		10x-fund-lp__pro-pharmaceuticals	funded					PRO-PHARMACEUTICALS CLOSES FINAL $570,000 TRANCHE FROM 10X FUND TO COMPLETE $6 MILLION RAISE	b	570000.0	10x-fund-lp__pro-pharmaceuticals	http://phx.corporate-ir.net/phoenix.zhtml?c=135403&p=irol-newsArticle&ID=1567344&highlight=	USD	2010	
"(664803 {""phone_number"":"""",""twitter_username"":""10xvp"",""permalink"":""10x-venture-partners"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-venture-partners"",""description"":"""",""overview"":"" 10X Venture Partners is a seed stage (and beyond) investment group. They commit operational experience and dollars to their portfolio companies. "",""created_at"":""Tue Sep 25 03:46:46 UTC 2012"",""updated_at"":""Tue Sep 25 03:55:25 UTC 2012"",""stub"":""False"",""homepage_url"":""http://www.10xvp.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":""showmethemoney@10xvp.com"",""alias_list"":"""",""name"":""10X Venture Partners""})"	"(665426 {""stub"":"""",""visited"":""False"",""permalink"":""freepricealerts"",""name"":""FreePriceAlerts""})"	funded		10x-venture-partners__freepricealerts	funded					FreePriceAlerts Closes $2.5 Million Series B Funding Round	b	2500000.0	10x-venture-partners__freepricealerts	http://www.prnewswire.com/news-releases/freepricealerts-closes-25-million-series-b-funding-round-170962201.html	USD	2012	
"(664803 {""phone_number"":"""",""twitter_username"":""10xvp"",""permalink"":""10x-venture-partners"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/10x-venture-partners"",""description"":"""",""overview"":"" 10X Venture Partners is a seed stage (and beyond) investment group. They commit operational experience and dollars to their portfolio companies. "",""created_at"":""Tue Sep 25 03:46:46 UTC 2012"",""updated_at"":""Tue Sep 25 03:55:25 UTC 2012"",""stub"":""False"",""homepage_url"":""http://www.10xvp.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":""showmethemoney@10xvp.com"",""alias_list"":"""",""name"":""10X Venture Partners""})"	"(665427 {""stub"":"""",""visited"":""False"",""permalink"":""mosaic-storage-systems"",""name"":""Mosaic Storage Systems""})"	funded		10x-venture-partners__mosaic-storage-systems	funded					Mosaic Snaps Up Series A Funding for Photo-Archiving Service	a	875000.0	10x-venture-partners__mosaic-storage-systems	http://pevc.dowjones.com/article?an=DJFVW00020130228e92spbgv4&from=alert&pid=32&ReturnUrl=http%3a%2f%2fpevc.dowjones.com%3a80%2farticle%3fan%3dDJFVW00020130228e92spbgv4%26from%3dalert%26pid%3d32	USD	2013	
"(664806 {""stub"":""False"",""permalink"":""123-venture"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/123-venture"",""name"":""123 Venture"",""visited"":""False"",""created_at"":""Mon Apr 05 12:56:05 UTC 2010"",""updated_at"":""Mon Apr 05 12:56:05 UTC 2010""})"	"(665428 {""stub"":"""",""visited"":""False"",""permalink"":""tetco-technologies"",""name"":""Tetco Technologies""})"	funded		123-venture__tetco-technologies	funded					EDGAR	c	3880000.0	123-venture__tetco-technologies		USD	2007	
"(664806 {""stub"":""False"",""permalink"":""123-venture"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/123-venture"",""name"":""123 Venture"",""visited"":""False"",""created_at"":""Mon Apr 05 12:56:05 UTC 2010"",""updated_at"":""Mon Apr 05 12:56:05 UTC 2010""})"	"(665428 {""stub"":"""",""visited"":""False"",""permalink"":""tetco-technologies"",""name"":""Tetco Technologies""})"	funded		123-venture__tetco-technologies	funded					EDGAR	d	3100000.0	123-venture__tetco-technologies		USD	2007	
"(664806 {""stub"":""False"",""permalink"":""123-venture"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/123-venture"",""name"":""123 Venture"",""visited"":""False"",""created_at"":""Mon Apr 05 12:56:05 UTC 2010"",""updated_at"":""Mon Apr 05 12:56:05 UTC 2010""})"	"(665429 {""stub"":"""",""visited"":""False"",""permalink"":""fg-microtec"",""name"":""fg microtec""})"	funded		123-venture__fg-microtec	funded					EDGAR	unattributed	2560000.0	123-venture__fg-microtec		USD	2006	
"(664806 {""stub"":""False"",""permalink"":""123-venture"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/123-venture"",""name"":""123 Venture"",""visited"":""False"",""created_at"":""Mon Apr 05 12:56:05 UTC 2010"",""updated_at"":""Mon Apr 05 12:56:05 UTC 2010""})"	"(665430 {""stub"":"""",""visited"":""False"",""permalink"":""ariane-systems"",""name"":""Ariane Systems""})"	funded		123-venture__ariane-systems	funded					EDGAR	unattributed	3070000.0	123-venture__ariane-systems		USD	2006	
"(664806 {""stub"":""False"",""permalink"":""123-venture"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/123-venture"",""name"":""123 Venture"",""visited"":""False"",""created_at"":""Mon Apr 05 12:56:05 UTC 2010"",""updated_at"":""Mon Apr 05 12:56:05 UTC 2010""})"	"(665429 {""stub"":"""",""visited"":""False"",""permalink"":""fg-microtec"",""name"":""fg microtec""})"	funded		123-venture__fg-microtec	funded					fg microtec closes EUR 2.3 million Series B round 	b	2300000.0	123-venture__fg-microtec	http://www.triangle-venture.org/index.php?hid=4&shid=2&nid=2005_08_12	EUR	2005	
"(664806 {""stub"":""False"",""permalink"":""123-venture"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/123-venture"",""name"":""123 Venture"",""visited"":""False"",""created_at"":""Mon Apr 05 12:56:05 UTC 2010"",""updated_at"":""Mon Apr 05 12:56:05 UTC 2010""})"	"(665432 {""stub"":"""",""visited"":""False"",""permalink"":""the-bakery"",""name"":""The Bakery""})"	funded		123-venture__the-bakery	funded					THE BAKERY ANNOUNCES $2.3 MILLION INVESTMENT	unattributed	1300000.0	123-venture__the-bakery	http://www.thebakeryanimation.com/pub/press_release.pdf	USD	2010	
"(664810 {""phone_number"":"""",""permalink"":""137-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/137-ventures"",""description"":"""",""overview"":"" 137 Ventures is a growth stage venture fund with an innovative secondary investment structure that provides liquidity to shareholders in the form of loans secured by private company shares.    The 137 Ventures team has deep connections in venture capital and private equity as well as extensive operational experience. 137 Ventures has made investments in many category leading companies including SolarCity, Tumblr, Eventbrite, Palantir Technologies and Spotify.  "",""created_at"":""Wed Mar 30 23:17:20 UTC 2011"",""updated_at"":""Wed Dec 11 00:46:33 UTC 2013"",""founded_year"":2010,""stub"":""False"",""homepage_url"":""http://137ventures.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""137 Ventures""})"	"(665441 {""stub"":"""",""visited"":""False"",""permalink"":""50-cubes"",""name"":""50 Cubes""})"	funded		137-ventures__50-cubes	funded						secondary_market	1500000.0	137-ventures__50-cubes		USD	2012	
"(664810 {""phone_number"":"""",""permalink"":""137-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/137-ventures"",""description"":"""",""overview"":"" 137 Ventures is a growth stage venture fund with an innovative secondary investment structure that provides liquidity to shareholders in the form of loans secured by private company shares.    The 137 Ventures team has deep connections in venture capital and private equity as well as extensive operational experience. 137 Ventures has made investments in many category leading companies including SolarCity, Tumblr, Eventbrite, Palantir Technologies and Spotify.  "",""created_at"":""Wed Mar 30 23:17:20 UTC 2011"",""updated_at"":""Wed Dec 11 00:46:33 UTC 2013"",""founded_year"":2010,""stub"":""False"",""homepage_url"":""http://137ventures.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""137 Ventures""})"	"(665442 {""stub"":"""",""visited"":""False"",""permalink"":""palantir-technologies"",""name"":""Palantir Technologies""})"	funded		137-ventures__palantir-technologies	funded						secondary_market	1500000.0	137-ventures__palantir-technologies		USD	2013	
"(664810 {""phone_number"":"""",""permalink"":""137-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/137-ventures"",""description"":"""",""overview"":"" 137 Ventures is a growth stage venture fund with an innovative secondary investment structure that provides liquidity to shareholders in the form of loans secured by private company shares.    The 137 Ventures team has deep connections in venture capital and private equity as well as extensive operational experience. 137 Ventures has made investments in many category leading companies including SolarCity, Tumblr, Eventbrite, Palantir Technologies and Spotify.  "",""created_at"":""Wed Mar 30 23:17:20 UTC 2011"",""updated_at"":""Wed Dec 11 00:46:33 UTC 2013"",""founded_year"":2010,""stub"":""False"",""homepage_url"":""http://137ventures.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""137 Ventures""})"	"(665443 {""stub"":"""",""visited"":""False"",""permalink"":""tumblr"",""name"":""Tumblr""})"	funded		137-ventures__tumblr	funded						secondary_market	1500000.0	137-ventures__tumblr		USD	2012	
"(664810 {""phone_number"":"""",""permalink"":""137-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/137-ventures"",""description"":"""",""overview"":"" 137 Ventures is a growth stage venture fund with an innovative secondary investment structure that provides liquidity to shareholders in the form of loans secured by private company shares.    The 137 Ventures team has deep connections in venture capital and private equity as well as extensive operational experience. 137 Ventures has made investments in many category leading companies including SolarCity, Tumblr, Eventbrite, Palantir Technologies and Spotify.  "",""created_at"":""Wed Mar 30 23:17:20 UTC 2011"",""updated_at"":""Wed Dec 11 00:46:33 UTC 2013"",""founded_year"":2010,""stub"":""False"",""homepage_url"":""http://137ventures.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""137 Ventures""})"	"(665444 {""stub"":"""",""visited"":""False"",""permalink"":""sharethis"",""name"":""ShareThis""})"	funded		137-ventures__sharethis	funded						secondary_market	1500000.0	137-ventures__sharethis		USD	2012	
"(664810 {""phone_number"":"""",""permalink"":""137-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/137-ventures"",""description"":"""",""overview"":"" 137 Ventures is a growth stage venture fund with an innovative secondary investment structure that provides liquidity to shareholders in the form of loans secured by private company shares.    The 137 Ventures team has deep connections in venture capital and private equity as well as extensive operational experience. 137 Ventures has made investments in many category leading companies including SolarCity, Tumblr, Eventbrite, Palantir Technologies and Spotify.  "",""created_at"":""Wed Mar 30 23:17:20 UTC 2011"",""updated_at"":""Wed Dec 11 00:46:33 UTC 2013"",""founded_year"":2010,""stub"":""False"",""homepage_url"":""http://137ventures.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""137 Ventures""})"	"(665445 {""stub"":"""",""visited"":""False"",""permalink"":""glammedia"",""name"":""Glam Media""})"	funded		137-ventures__glammedia	funded						secondary_market	1500000.0	137-ventures__glammedia		USD	2012	
"(664810 {""phone_number"":"""",""permalink"":""137-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/137-ventures"",""description"":"""",""overview"":"" 137 Ventures is a growth stage venture fund with an innovative secondary investment structure that provides liquidity to shareholders in the form of loans secured by private company shares.    The 137 Ventures team has deep connections in venture capital and private equity as well as extensive operational experience. 137 Ventures has made investments in many category leading companies including SolarCity, Tumblr, Eventbrite, Palantir Technologies and Spotify.  "",""created_at"":""Wed Mar 30 23:17:20 UTC 2011"",""updated_at"":""Wed Dec 11 00:46:33 UTC 2013"",""founded_year"":2010,""stub"":""False"",""homepage_url"":""http://137ventures.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""137 Ventures""})"	"(665446 {""stub"":"""",""visited"":""False"",""permalink"":""eventbrite"",""name"":""Eventbrite""})"	funded		137-ventures__eventbrite	funded						secondary_market	1500000.0	137-ventures__eventbrite		USD	2013	
"(664810 {""phone_number"":"""",""permalink"":""137-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/137-ventures"",""description"":"""",""overview"":"" 137 Ventures is a growth stage venture fund with an innovative secondary investment structure that provides liquidity to shareholders in the form of loans secured by private company shares.    The 137 Ventures team has deep connections in venture capital and private equity as well as extensive operational experience. 137 Ventures has made investments in many category leading companies including SolarCity, Tumblr, Eventbrite, Palantir Technologies and Spotify.  "",""created_at"":""Wed Mar 30 23:17:20 UTC 2011"",""updated_at"":""Wed Dec 11 00:46:33 UTC 2013"",""founded_year"":2010,""stub"":""False"",""homepage_url"":""http://137ventures.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""137 Ventures""})"	"(665446 {""stub"":"""",""visited"":""False"",""permalink"":""eventbrite"",""name"":""Eventbrite""})"	funded		137-ventures__eventbrite	funded						secondary_market	1500000.0	137-ventures__eventbrite		USD	2012	
"(664810 {""phone_number"":"""",""permalink"":""137-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/137-ventures"",""description"":"""",""overview"":"" 137 Ventures is a growth stage venture fund with an innovative secondary investment structure that provides liquidity to shareholders in the form of loans secured by private company shares.    The 137 Ventures team has deep connections in venture capital and private equity as well as extensive operational experience. 137 Ventures has made investments in many category leading companies including SolarCity, Tumblr, Eventbrite, Palantir Technologies and Spotify.  "",""created_at"":""Wed Mar 30 23:17:20 UTC 2011"",""updated_at"":""Wed Dec 11 00:46:33 UTC 2013"",""founded_year"":2010,""stub"":""False"",""homepage_url"":""http://137ventures.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""137 Ventures""})"	"(665447 {""stub"":"""",""visited"":""False"",""permalink"":""practice-fusion"",""name"":""Practice Fusion""})"	funded		137-ventures__practice-fusion	funded						secondary_market	1500000.0	137-ventures__practice-fusion		USD	2012	
"(664810 {""phone_number"":"""",""permalink"":""137-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/137-ventures"",""description"":"""",""overview"":"" 137 Ventures is a growth stage venture fund with an innovative secondary investment structure that provides liquidity to shareholders in the form of loans secured by private company shares.    The 137 Ventures team has deep connections in venture capital and private equity as well as extensive operational experience. 137 Ventures has made investments in many category leading companies including SolarCity, Tumblr, Eventbrite, Palantir Technologies and Spotify.  "",""created_at"":""Wed Mar 30 23:17:20 UTC 2011"",""updated_at"":""Wed Dec 11 00:46:33 UTC 2013"",""founded_year"":2010,""stub"":""False"",""homepage_url"":""http://137ventures.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""137 Ventures""})"	"(665448 {""stub"":"""",""visited"":""False"",""permalink"":""spotify"",""name"":""Spotify""})"	funded		137-ventures__spotify	funded						secondary_market	1500000.0	137-ventures__spotify		USD	2012	
"(664810 {""phone_number"":"""",""permalink"":""137-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/137-ventures"",""description"":"""",""overview"":"" 137 Ventures is a growth stage venture fund with an innovative secondary investment structure that provides liquidity to shareholders in the form of loans secured by private company shares.    The 137 Ventures team has deep connections in venture capital and private equity as well as extensive operational experience. 137 Ventures has made investments in many category leading companies including SolarCity, Tumblr, Eventbrite, Palantir Technologies and Spotify.  "",""created_at"":""Wed Mar 30 23:17:20 UTC 2011"",""updated_at"":""Wed Dec 11 00:46:33 UTC 2013"",""founded_year"":2010,""stub"":""False"",""homepage_url"":""http://137ventures.com"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False"",""email_address"":"""",""alias_list"":"""",""name"":""137 Ventures""})"	"(665449 {""stub"":"""",""visited"":""False"",""permalink"":""specific-media"",""name"":""Specific Media""})"	funded		137-ventures__specific-media	funded						secondary_market	1500000.0	137-ventures__specific-media		USD	2012	
